Answer,Count,age,age_group
2005,10,19,
2004,8,20,
2003,3,21,
2002,0,22,
2001,7,23,
2000,4,24,
1999,6,25,
1998,13,26,
1997,16,27,
1996,19,28,
1995,22,29,
1994,21,30,
1993,22,31,
1992,26,32,
1991,31,33,
1990,39,34,
1989,32,35,
1988,41,36,
1987,44,37,
1986,64,38,
1985,49,39,
1984,50,40,
1983,50,41,
1982,60,42,
1981,60,43,
1980,63,44,
1979,60,45,
1978,64,46,
1977,59,47,
1976,63,48,
1975,62,49,
1974,89,50,
1973,75,51,
1972,81,52,
1971,92,53,
1970,97,54,
1969,87,55,
1968,105,56,
1967,100,57,
1966,105,58,
1965,105,59,
1964,93,60,
1963,102,61,
1962,98,62,
1961,128,63,
1960,132,64,
1959,114,65,
1958,129,66,
1957,116,67,
1956,136,68,
1955,146,69,
1954,103,70,
1953,126,71,
1952,122,72,
1951,119,73,
1950,91,74,
1949,102,75,
1948,96,76,
1947,80,77,
1946,73,78,
1945,52,79,
1944,45,80,
1943,42,81,
1942,21,82,
1941,28,83,
1940,15,84,
1939,13,85,
1938,8,86,
1937,8,87,
1936,9,88,
1935,6,89,
1934,4,90,
1933,2,91,
1932,1,92,
1931,0,93,
1930,2,94,
1929,0,95,
1928,0,96,
1927,0,97,
1926,0,98,
1925,0,99,
1924,0,100,
1923,0,101,
1922,0,102,
1921,0,103,
1920,0,104,
1919,0,105,
1918,0,106,
1917,0,107,
1916,0,108,
1915,0,109,
1914,0,110,
1913,0,111,
1912,0,112,
1911,0,113,
1910,0,114,
1909,0,115,
1908,0,116,
1907,0,117,
1906,0,118,
1905,0,119,
1904,0,120,
1903,0,121,
1902,0,122,
1901,0,123,
1900,0,124,
1899,0,125,
1898,0,126,
1897,0,127,
1896,0,128,
1895,0,129,
1894,0,130,
1893,0,131,
1892,0,132,
1891,0,133,
1890,0,134,
1889,0,135,
1888,0,136,
1887,0,137,
1886,0,138,
1885,0,139,
1884,2,140,